genome_id,kingdom,specie,protein,mono_score,dimer_score,class,genome_predominant_architecture_type
GCA_000008805.1,Pseudomonadati,Neisseria meningitidis,AE002098.2_932130_934355,1326.0,,monomeric,ambiguous
GCA_000008805.1,Pseudomonadati,Neisseria meningitidis,AE002098.2_1045766_1046836,,253.1,dimeric,ambiguous
GCA_000008985.1,Pseudomonadati,Francisella tularensis,AJ749949.2_1582649_1584865,1261.4,,monomeric,predominantly_monomeric
GCA_000009045.1,Bacillati,Bacillus subtilis,AL009126.3_2979716_2980987,,604.1,dimeric,predominantly_dimeric
GCA_000009045.1,Bacillati,Bacillus subtilis,AL009126.3_452836_453894,,225.3,dimeric,predominantly_dimeric
GCA_000009045.1,Bacillati,Bacillus subtilis,AL009126.3_2891020_2892117,,248.9,dimeric,predominantly_dimeric
GCA_000009065.1,Pseudomonadati,Yersinia pestis,AL590842.1_1866223_1867476,,602.9,dimeric,predominantly_dimeric
GCA_000009065.1,Pseudomonadati,Yersinia pestis,AL590842.1_2804779_2805864,,223.2,dimeric,predominantly_dimeric
GCA_000009065.1,Pseudomonadati,Yersinia pestis,AL590842.1_4167989_4169827,,42.4,dimeric,predominantly_dimeric
GCA_000009065.1,Pseudomonadati,Yersinia pestis,AL590842.1_575681_576772,,231.5,dimeric,predominantly_dimeric
GCA_000009085.1,Pseudomonadati,Campylobacter jejuni,AL111168.1_494077_496281,1085.6,,monomeric,ambiguous
GCA_000009085.1,Pseudomonadati,Campylobacter jejuni,AL111168.1_1629320_1630396,,223.1,dimeric,ambiguous
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646052.1_2695967_2697217,,585.8,dimeric,predominantly_dimeric
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646053.1_430009_431106,,253.6,dimeric,predominantly_dimeric
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646053.1_2028439_2029524,,238.7,dimeric,predominantly_dimeric
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646053.1_1255971_1257056,,220.0,dimeric,predominantly_dimeric
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646052.1_522269_522754,,125.0,dimeric,predominantly_dimeric
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646052.1_521664_522233,,72.2,dimeric,predominantly_dimeric
GCA_000009125.1,Pseudomonadati,Ralstonia pseudosolanacearum,AL646052.1_2164945_2166015,,250.0,dimeric,predominantly_dimeric
GCA_000009145.1,Pseudomonadati,Nitrosomonas europaea,AL954747.1_1865346_1866593,,576.5,dimeric,predominantly_dimeric
GCA_000009145.1,Pseudomonadati,Nitrosomonas europaea,AL954747.1_746278_747348,,247.2,dimeric,predominantly_dimeric
GCA_000009205.2,Bacillati,Clostridioides difficile,AM180355.1_1011268_1012263,,427.3,dimeric,predominantly_dimeric
GCA_000009205.2,Bacillati,Clostridioides difficile,AM180355.1_1156470_1157540,,234.8,dimeric,predominantly_dimeric
GCA_000009225.1,Pseudomonadati,Pseudomonas fluorescens,AM181176.4_4200789_4202045,,583.3,dimeric,predominantly_dimeric
GCA_000009225.1,Pseudomonadati,Pseudomonas fluorescens,AM181176.4_4202539_4204764,1315.3,,monomeric,predominantly_dimeric
GCA_000009225.1,Pseudomonadati,Pseudomonas fluorescens,AM181176.4_4465459_4466544,,220.3,dimeric,predominantly_dimeric
GCA_000009225.1,Pseudomonadati,Pseudomonas fluorescens,AM181176.4_4631941_4633023,,240.3,dimeric,predominantly_dimeric
GCA_000009305.1,Pseudomonadati,Helicobacter acinonychis,AM260522.1_40811_42088,,569.4,dimeric,predominantly_dimeric
GCA_000009365.1,Pseudomonadati,Alcanivorax borkumensis,AM286690.1_1456565_1457827,,569.0,dimeric,predominantly_dimeric
GCA_000009365.1,Pseudomonadati,Alcanivorax borkumensis,AM286690.1_1674893_1675969,,246.5,dimeric,predominantly_dimeric
GCA_000009365.1,Pseudomonadati,Alcanivorax borkumensis,AM286690.1_1453952_1456174,1282.6,,monomeric,predominantly_dimeric
GCA_000009365.1,Pseudomonadati,Alcanivorax borkumensis,AM286690.1_322684_323700,,367.3,dimeric,predominantly_dimeric
GCA_000009365.1,Pseudomonadati,Alcanivorax borkumensis,AM286690.1_560717_561868,,196.5,dimeric,predominantly_dimeric
GCA_000009405.1,Bacillati,Staphylococcus carnosus,AM295250.1_1309377_1310642,,597.8,dimeric,predominantly_dimeric
GCA_000009405.1,Bacillati,Staphylococcus carnosus,AM295250.1_1581279_1582319,,220.4,dimeric,predominantly_dimeric
GCA_000009425.1,Bacillati,Lactococcus cremoris,AM406671.1_1255605_1256435,,170.3,dimeric,predominantly_dimeric
GCA_000009425.1,Bacillati,Lactococcus cremoris,AM406671.1_1255397_1255570,,38.9,dimeric,predominantly_dimeric
GCA_000009425.1,Bacillati,Lactococcus cremoris,AM406671.1_632149_633387,,509.9,dimeric,predominantly_dimeric
GCA_000009725.1,Bacillati,Synechocystis sp. PCC 6803,BA000022.2_1608232_1609320,,240.3,dimeric,predominantly_dimeric
GCA_000009725.1,Bacillati,Synechocystis sp. PCC 6803,BA000022.2_283060_284487,,525.4,dimeric,predominantly_dimeric
GCA_000009765.2,Bacillati,Streptomyces avermitilis,BA000030.4_8592489_8594708,1305.7,,monomeric,ambiguous
GCA_000009765.2,Bacillati,Streptomyces avermitilis,BA000030.4_3334606_3335649,,238.4,dimeric,ambiguous
GCA_000009785.1,Bacillati,Geobacillus kaustophilus,BA000043.1_2676588_2677703,,253.4,dimeric,predominantly_dimeric
GCA_000009785.1,Bacillati,Geobacillus kaustophilus,BA000043.1_2756514_2757785,,617.0,dimeric,predominantly_dimeric
GCA_000009785.1,Bacillati,Geobacillus kaustophilus,BA000043.1_3488774_3489115,,71.5,dimeric,predominantly_dimeric
GCA_000009805.1,Bacillati,Nocardia farcinica,AP006618.1_1024847_1026064,,429.8,dimeric,predominantly_dimeric
GCA_000009805.1,Bacillati,Nocardia farcinica,AP006618.1_2053142_2054224,,310.0,dimeric,predominantly_dimeric
GCA_000009805.1,Bacillati,Nocardia farcinica,AP006618.1_4370177_4371184,,235.1,dimeric,predominantly_dimeric
GCA_000009825.1,Bacillati,Shouchella clausii,AP006627.1_2848203_2849468,,599.2,dimeric,predominantly_dimeric
GCA_000009825.1,Bacillati,Shouchella clausii,AP006627.1_2768869_2769963,,262.2,dimeric,predominantly_dimeric
GCA_000009825.1,Bacillati,Shouchella clausii,AP006627.1_685848_686921,,273.4,dimeric,predominantly_dimeric
GCA_000009825.1,Bacillati,Shouchella clausii,AP006627.1_910437_911492,,223.6,dimeric,predominantly_dimeric
GCA_000009905.1,Bacillati,Symbiobacterium thermophilum,AP006840.1_3251667_3252773,,242.3,dimeric,predominantly_dimeric
GCA_000009905.1,Bacillati,Symbiobacterium thermophilum,AP006840.1_2532215_2533294,,241.3,dimeric,predominantly_dimeric
GCA_000009905.1,Bacillati,Symbiobacterium thermophilum,AP006840.1_2729853_2731118,,574.1,dimeric,predominantly_dimeric
GCA_000009905.1,Bacillati,Symbiobacterium thermophilum,AP006840.1_2087035_2088108,,247.6,dimeric,predominantly_dimeric
GCA_000009925.1,Pseudomonadati,Bacteroides fragilis,AP006841.1_3937255_3938316,,192.6,dimeric,predominantly_dimeric
GCA_000009925.1,Pseudomonadati,Bacteroides fragilis,AP006841.1_4260007_4261197,,557.3,dimeric,predominantly_dimeric
GCA_000009965.1,Methanobacteriati,Thermococcus kodakarensis,AP006878.1_233688_234731,,247.1,dimeric,predominantly_dimeric
GCA_000009985.1,Pseudomonadati,Paramagnetospirillum magneticum,AP007255.1_653748_655973,1340.8,28.8,monomeric,predominantly_dimeric
GCA_000009985.1,Pseudomonadati,Paramagnetospirillum magneticum,AP007255.1_656080_657300,,446.4,dimeric,predominantly_dimeric
GCA_000009985.1,Pseudomonadati,Paramagnetospirillum magneticum,AP007255.1_3438153_3439229,,224.5,dimeric,predominantly_dimeric
GCA_000009985.1,Pseudomonadati,Paramagnetospirillum magneticum,AP007255.1_4469458_4470567,,217.0,dimeric,predominantly_dimeric
GCA_000010045.1,Bacillati,Desulfitobacterium hafniense,AP008230.1_1611109_1612167,,239.0,dimeric,predominantly_dimeric
GCA_000010045.1,Bacillati,Desulfitobacterium hafniense,AP008230.1_4092636_4093760,,144.4,dimeric,predominantly_dimeric
GCA_000010045.1,Bacillati,Desulfitobacterium hafniense,AP008230.1_4439216_4440427,,402.3,dimeric,predominantly_dimeric
GCA_000010085.1,Pseudomonadati,Sodalis glossinidius,AP008232.1_765941_767035,,230.6,dimeric,ambiguous
GCA_000010085.1,Pseudomonadati,Sodalis glossinidius,AP008232.1_1180248_1182479,1308.2,,monomeric,ambiguous
GCA_000010165.1,Bacillati,Brevibacillus brevis,AP008955.1_1433099_1434382,,611.2,dimeric,predominantly_dimeric
GCA_000010165.1,Bacillati,Brevibacillus brevis,AP008955.1_5967084_5968160,,233.6,dimeric,predominantly_dimeric
GCA_000010165.1,Bacillati,Brevibacillus brevis,AP008955.1_1676876_1677970,,226.0,dimeric,predominantly_dimeric
GCA_000010285.1,Bacillati,Kocuria rhizophila,AP009152.1_865521_867734,1282.4,,monomeric,ambiguous
GCA_000010285.1,Bacillati,Kocuria rhizophila,AP009152.1_1117457_1118536,,245.0,dimeric,ambiguous
GCA_000010305.1,Pseudomonadati,Gemmatimonas aurantiaca,AP009153.1_3460572_3463322,81.6,,monomeric,predominantly_dimeric
GCA_000010305.1,Pseudomonadati,Gemmatimonas aurantiaca,AP009153.1_2722973_2724379,,431.9,dimeric,predominantly_dimeric
GCA_000010305.1,Pseudomonadati,Gemmatimonas aurantiaca,AP009153.1_4177508_4178626,,233.8,dimeric,predominantly_dimeric
GCA_000010305.1,Pseudomonadati,Gemmatimonas aurantiaca,AP009153.1_2902752_2903765,,404.0,dimeric,predominantly_dimeric
GCA_000010325.1,Pseudomonadati,Nitratiruptor sp. SB155-2,AP009178.1_732873_733943,,272.5,dimeric,ambiguous
GCA_000010325.1,Pseudomonadati,Nitratiruptor sp. SB155-2,AP009178.1_841032_843248,1100.9,,monomeric,ambiguous
GCA_000010365.1,Pseudomonadati,Candidatus Carsonella ruddii,AP009180.1_77419_78468,,152.2,dimeric,predominantly_dimeric
GCA_000010425.1,Bacillati,Bifidobacterium adolescentis,AP009256.1_1695349_1696389,,247.7,dimeric,predominantly_dimeric
GCA_000010425.1,Bacillati,Bifidobacterium adolescentis,AP009256.1_977214_978434,,418.0,dimeric,predominantly_dimeric
GCA_000010525.1,Pseudomonadati,Azorhizobium caulinodans,AP009384.1_2135132_2136346,,438.9,dimeric,predominantly_dimeric
GCA_000010525.1,Pseudomonadati,Azorhizobium caulinodans,AP009384.1_353786_354898,,220.9,dimeric,predominantly_dimeric
GCA_000010545.1,Pseudomonadati,Burkholderia multivorans,AP009386.1_740743_741810,,241.8,dimeric,predominantly_dimeric
GCA_000010545.1,Pseudomonadati,Burkholderia multivorans,AP009385.1_2678167_2680392,1321.0,,monomeric,predominantly_dimeric
GCA_000010545.1,Pseudomonadati,Burkholderia multivorans,AP009385.1_2680667_2681923,,594.4,dimeric,predominantly_dimeric
GCA_000010545.1,Pseudomonadati,Burkholderia multivorans,AP009386.1_317511_318593,,230.4,dimeric,predominantly_dimeric
GCA_000010545.1,Pseudomonadati,Burkholderia multivorans,AP009386.1_8371_9456,,228.5,dimeric,predominantly_dimeric
GCA_000010545.1,Pseudomonadati,Burkholderia multivorans,AP009387.1_160107_161186,,224.9,dimeric,predominantly_dimeric
GCA_000010565.1,Bacillati,Pelotomaculum thermopropionicum,AP009389.1_526131_527207,,237.5,dimeric,predominantly_dimeric
GCA_000010565.1,Bacillati,Pelotomaculum thermopropionicum,AP009389.1_2621483_2622481,,439.1,dimeric,predominantly_dimeric
GCA_000010585.1,Bacillati,Macrococcoides caseolyticum,AP009484.1_1474552_1475814,,590.7,dimeric,predominantly_dimeric
GCA_000010605.1,Bacillati,Streptomyces griseus,AP009493.1_1444635_1446857,1304.0,,monomeric,ambiguous
GCA_000010605.1,Bacillati,Streptomyces griseus,AP009493.1_2341172_2342215,,235.5,dimeric,ambiguous
GCA_000010625.1,Bacillati,Microcystis aeruginosa,AP009552.1_1397664_1398752,,243.6,dimeric,predominantly_dimeric
GCA_000010625.1,Bacillati,Microcystis aeruginosa,AP009552.1_15403_16488,,238.9,dimeric,predominantly_dimeric
GCA_000010625.1,Bacillati,Microcystis aeruginosa,AP009552.1_5790661_5792097,,530.9,dimeric,predominantly_dimeric
GCA_000010645.1,Pseudomonadati,Candidatus Azobacteroides pseudotrichonymphae,AP010656.1_817802_818887,,220.4,dimeric,predominantly_dimeric
GCA_000010665.1,Pseudomonadati,Solidesulfovibrio magneticus,AP010904.1_3180169_3181320,,501.1,dimeric,predominantly_dimeric
GCA_000010665.1,Pseudomonadati,Solidesulfovibrio magneticus,AP010904.1_1768613_1769689,,246.6,dimeric,predominantly_dimeric
GCA_000010725.1,Pseudomonadati,Azospirillum sp. B510,AP010949.1_394051_395094,,221.7,dimeric,predominantly_dimeric
GCA_000010725.1,Pseudomonadati,Azospirillum sp. B510,AP010946.1_1924403_1925848,,450.1,dimeric,predominantly_dimeric
GCA_000010725.1,Pseudomonadati,Azospirillum sp. B510,AP010946.1_1919109_1920332,,430.8,dimeric,predominantly_dimeric
GCA_000010725.1,Pseudomonadati,Azospirillum sp. B510,AP010946.1_1006878_1007993,,221.7,dimeric,predominantly_dimeric
GCA_000010785.1,Pseudomonadati,Hydrogenobacter thermophilus,AP011112.1_776762_778027,,416.4,dimeric,predominantly_dimeric
GCA_000010785.1,Pseudomonadati,Hydrogenobacter thermophilus,AP011112.1_1391328_1392422,,261.6,dimeric,predominantly_dimeric
GCA_000010805.1,Bacillati,Rhodococcus opacus,AP011115.1_5290027_5291121,,233.0,dimeric,predominantly_dimeric
GCA_000010805.1,Bacillati,Rhodococcus opacus,AP011115.1_746571_747668,,297.7,dimeric,predominantly_dimeric
GCA_000010805.1,Bacillati,Rhodococcus opacus,AP011115.1_5120625_5122865,1263.1,,monomeric,predominantly_dimeric
GCA_000010805.1,Bacillati,Rhodococcus opacus,AP011115.1_6902077_6903300,,425.9,dimeric,predominantly_dimeric
GCA_000010805.1,Bacillati,Rhodococcus opacus,AP011115.1_7159014_7160024,,222.8,dimeric,predominantly_dimeric
GCA_000010825.1,Pseudomonadati,Acetobacter pasteurianus,AP011121.1_1096145_1097176,,365.8,dimeric,predominantly_dimeric
GCA_000010825.1,Pseudomonadati,Acetobacter pasteurianus,AP011121.1_1850665_1851786,,231.5,dimeric,predominantly_dimeric
GCA_000010825.1,Pseudomonadati,Acetobacter pasteurianus,AP011121.1_648607_649827,,429.5,dimeric,predominantly_dimeric
